WKT,id,order_number,sos,sos_new,on_street,from_street,to_street,smo_code,sign_description,size_description,facing_direction_type,arrow_points,distance_from_intersection,smo_category,smo_subtype,last_work_date,notes
"POINT (-73.9775638992405 40.7868078386621)","11039776",P-01340478,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   83 STREET,WEST   84 STREET,PS-2GA,NO PARKING ANYTIME --> ,018 X 012,,South,"176",parking,No Parking (Non-ASP),2018/12/13,
"POINT (-73.9873588676751 40.778811173416)","12051101",S-01449636,W,"[ ""W"", ""West side"" ]",FREEDOM PLACE,WEST   69 STREET,WEST   70 STREET,PS-54B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8AM-9:30AM <-> ,018 X 012,,,"85",parking,Street Cleaning,2020/06/19,
"POINT (-73.987250503495 40.779033485091)","12051102",S-01449636,W,"[ ""W"", ""West side"" ]",FREEDOM PLACE,WEST   69 STREET,WEST   70 STREET,PS-54B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8AM-9:30AM <-> ,018 X 012,,,"172",parking,Street Cleaning,2020/06/19,
"POINT (-73.977668669657 40.7866678776412)","11039775",P-01340478,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   83 STREET,WEST   84 STREET,PS-64CA,2 HOUR METERED PARKING 8AM-10PM EXCEPT SUNDAY --> ,018 X 018,,South,"117",parking,Metered Parking,2018/12/13,
"POINT (-73.9808941231489 40.7822380569872)","10737732",P-01311173,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   76 STREET,WEST   77 STREET,PS-64C,2 HOUR METERED PARKING 8AM-10PM EXCEPT SUNDAY <-> ,018 X 018,,,"184",parking,Metered Parking,2018/12/13,
"POINT (-73.9808941231489 40.7822380569872)","10737714",P-01311173,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   76 STREET,WEST   77 STREET,PS-121B,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY <-> ,018 X 012,,,"184",parking,Street Cleaning,2018/12/13,
"POINT (-73.9697731574183 40.7980265164742)","12054364",S-01450076,N,"[ ""N"", ""North side"" ]",WEST  101 STREET,BROADWAY,WEST END AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"52",parking,Street Cleaning,2020/06/20,
"POINT (-73.9699970446319 40.7981198957168)","12054365",S-01450076,N,"[ ""N"", ""North side"" ]",WEST  101 STREET,BROADWAY,WEST END AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"122",parking,Street Cleaning,2020/06/20,
"POINT (-73.9807033126153 40.7822521492139)","10737716",P-01311173,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   76 STREET,WEST   77 STREET,PS-9A,ZONE#113815 PAY BY CELL LOCATOR,018 X 006,,,"184",parking,Metered Parking,2018/12/13,"113815"
"POINT (-73.9705928747286 40.7983725642272)","12054366",S-01450076,N,"[ ""N"", ""North side"" ]",WEST  101 STREET,BROADWAY,WEST END AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"311",parking,Street Cleaning,2020/06/20,
"POINT (-73.9808153464206 40.7819200550231)","10737711",P-01311173,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   76 STREET,WEST   77 STREET,PS-121B,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY <-> ,018 X 012,,,"62",parking,Street Cleaning,2018/12/13,
"POINT (-73.9814861481692 40.7694712918648)","12057415",S-01450441,S,"[ ""S"", ""South side"" ]",WEST   61 STREET,BROADWAY,CENTRAL PARK WEST,PS-15G,NO PARKING MONDAY-FRIDAY 8AM-6PM <-> ,018 X 012,,,"201",parking,No Parking (Non-ASP),2016/04/26,
"POINT (-73.9808153464206 40.7819200550231)","10737731",P-01311173,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   76 STREET,WEST   77 STREET,PS-64C,2 HOUR METERED PARKING 8AM-10PM EXCEPT SUNDAY <-> ,018 X 018,,,"62",parking,Metered Parking,2018/12/13,
