"address_1","nyc_borough_block_and_lot_bbl","year_built","number_of_buildings","largest_property_use_type","largest_property_use_type_gross_floor_area_ft","_2nd_largest_property_use_type","_2nd_largest_property_use_gross_floor_area_ft","_3rd_largest_property_use_type","_3rd_largest_property_use_type_gross_floor_area_ft","total_ghg_emissions_metric_tons_co2e","energy_star_score","reason_s_for_no_score","property_gfa_self_reported_ft","office_gross_floor_area_ft","multifamily_housing_gross_floor_area_ft","parking_gross_floor_area_ft","retail_store_gross_floor_area_ft","supermarket_grocery_gross_floor_area_ft","property_gfa_calculated_buildings_ft","property_gfa_calculated_parking_ft","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","diesel_2_use_kbtu","district_steam_use_kbtu","natural_gas_use_kbtu","natural_gas_use_therms","electricity_use_grid_purchase_kwh"
"750 Seventh Avenue","1-01021-0026","1990","1","Office","624923","Data Center","11750","Other - Restaurant/Bar","6628","3041.4","85","Not Available","646609","624923","Not Available","Not Available","Not Available","Not Available","646609","Not Available","Not Available","Not Available","Not Available","13341768.2","914481.1","9144.810618","7770858.6"
"750 Third Avenue","1013010033","1958","1","Office","547848","Financial Office","209690","Bank Branch","12232","4281.6","67","Not Available","770090","547848","Not Available","Not Available","Not Available","Not Available","770090","Not Available","Not Available","Not Available","Not Available","21495299","674903.3","6749.03334","10395345.2"
"754 5th Avenue","1-01273-0033","1928","1","Retail Store","249754","Not Available","Not Available","Not Available","Not Available","2219.5","19","Not Available","249754","Not Available","Not Available","Not Available","249754","Not Available","249754","Not Available","Not Available","Not Available","Not Available","8133911.2","3289692.4","32896.9238","5549565.1"
"757 3rd Avenue","1013210001","1964","1","Office","407767","Not Available","Not Available","Not Available","Not Available","1918.6","73","Not Available","407767","407767","Not Available","Not Available","Not Available","Not Available","407767","Not Available","Not Available","Not Available","Not Available","9544857.9","427496.5","4274.964856","4654945"
"75 Broad Street","1000290070","1928","1","Office","653245","Retail Store","8038","Not Available","Not Available","4894.2","48","Not Available","661283","653245","Not Available","Not Available","8038","Not Available","661283","Not Available","Not Available","Not Available","Not Available","18433088","Not Available","Not Available","13537052.8"
"75 Columbia Street","1-00333-0001","1966","4","Multifamily Housing","1310298","Not Available","Not Available","Not Available","Not Available","9631.6","10","Not Available","1310298","Not Available","1310298","Not Available","Not Available","Not Available","1310298","Not Available","Not Available","Not Available","Not Available","107640189.1","6013763.3","60137.6332","7985351.3"
"75 Maiden Lane","1-00068-0011","1925","1","Office","144541","Restaurant","5240","Bar/Nightclub","3645","722.6","85","Not Available","155026","144541","Not Available","Not Available","Not Available","Not Available","155026","Not Available","Not Available","Not Available","Not Available","3550828.5","767220.6","7672.206054","1645212.2"
"75 Montgomery Street","1-00259-0001","1963","1","Multifamily Housing","136070","Not Available","Not Available","Not Available","Not Available","990","20","Not Available","136070","Not Available","136070","Not Available","Not Available","Not Available","136070","Not Available","Not Available","Not Available","Not Available","11510821.4","681111.2","6811.11244","699057.6"
"75 Third Avenue","1004670001","1988","1","Residence Hall/Dormitory","302042","Office","13873","College/University","6923","1838","59","Not Available","322838","13873","Not Available","Not Available","Not Available","Not Available","322838","Not Available","Not Available","Not Available","Not Available","15318531.5","377326.7","3773.266666","2953597.9"
"75 Wall Street","1-00031-7501","1987","1","Multifamily Housing","481867","Hotel","196151","Parking","24207","2998.7","59","Not Available","683289","Not Available","481867","24207","Not Available","Not Available","683289","24207","Not Available","Not Available","Not Available","17518081.6","4999162","49991.62027","5790726.5"
"767 Fifth Avenue","1012940001","1968","1","Office","1170233","Financial Office","551309","Retail Store","134395","13751.6","58","Not Available","1864997","1170233","Not Available","22187","134395","Not Available","1864997","22187","Not Available","Not Available","Not Available","97196380.5","Not Available","Not Available","26916573.7"
"76 Madison Avenue","1-00857-7501","1911","1","Multifamily Housing","64830","Not Available","Not Available","Not Available","Not Available","393.8","8","Not Available","64830","Not Available","64830","Not Available","Not Available","Not Available","64830","Not Available","Not Available","Not Available","Not Available","3383805.3","30800","307.9999809","617574.2"
"770 Broadway","1005540001","1906","1","Office","1092700","Retail Store","82490","Bank Branch","6034","4836.9","80","Not Available","1182224","1092700","Not Available","Not Available","82490","Not Available","1182224","Not Available","Not Available","Not Available","Not Available","17363993.4","7456455.7","74564.55688","12126634"
"770 Park Ave","1013870037","1931","1","Multifamily Housing","209183","Urgent Care/Clinic/Other Outpatient","1600","Not Available","Not Available","1092","52","Not Available","210783","Not Available","209183","Not Available","Not Available","Not Available","210783","Not Available","Not Available","Not Available","Not Available","11798644","248268.8","2482.688134","1089496"
"777 Third Avenue","1013220001","1963","1","Office","494012","Parking","27084","Retail Store","15333","3733","55","Not Available","509345","494012","Not Available","27084","15333","Not Available","509345","27084","Not Available","Not Available","Not Available","35413921.2","Not Available","Not Available","5095633.2"
"777 Third Avenue","1013220001","1963","1","Office","563420","Not Available","Not Available","Not Available","Not Available","3734.9","60","Not Available","563420","563420","Not Available","Not Available","Not Available","Not Available","563420","Not Available","Not Available","Not Available","Not Available","35413921.2","Not Available","Not Available","5102633.2"
"777 United Nations Plaza","1-01336-0030","1963","1","Office","67177","Not Available","Not Available","Not Available","Not Available","517","58","Not Available","67177","67177","Not Available","Not Available","Not Available","Not Available","67177","Not Available","Not Available","Not Available","Not Available","5571512.6","Not Available","Not Available","542319.5"
"778 Park Avenue","1-01388-0033","1930","1","Multifamily Housing","95930","Not Available","Not Available","Not Available","Not Available","758","Not Available","Total Number of Residential Living Units is too small","95930","Not Available","95930","Not Available","Not Available","Not Available","95930","Not Available","Not Available","Not Available","Not Available","5975423.1","49777.2","497.7720441","1322426.4"
"77 Water Street","1000330001","1969","1","Office","541568","Not Available","Not Available","Not Available","Not Available","3231.2","66","Not Available","541568","541568","Not Available","Not Available","Not Available","Not Available","541568","Not Available","Not Available","Not Available","Not Available","27288096.8","Not Available","Not Available","5234879.3"
"77 Water Street","1000330001","1969","1","Office","617578","Not Available","Not Available","Not Available","Not Available","3231.2","71","Not Available","617578","617578","Not Available","Not Available","Not Available","Not Available","617578","Not Available","Not Available","Not Available","Not Available","27288096.8","Not Available","Not Available","5234879.3"
"77 Water Street","1000330001","1969","1","Office","669173.9","Not Available","Not Available","Not Available","Not Available","3078.9","85","Not Available","631257","669173.9","Not Available","Not Available","Not Available","Not Available","669173.9","Not Available","Not Available","Not Available","Not Available","24756399.3","Not Available","Not Available","5293012.6"
"780 3rd Avenue","1013030033","1984","1","Office","301259","Financial Office","183084","Restaurant","3866","1916.7","74","Not Available","490020","301259","Not Available","Not Available","Not Available","Not Available","490020","Not Available","Not Available","Not Available","Not Available","5828575.9","Not Available","Not Available","5641824.4"
"781 5th Avenue","1013740001","1928","1","Multifamily Housing","156025","Hotel","132484","Retail Store","26000","2853.3","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","314509","Not Available","156025","Not Available","26000","Not Available","314509","Not Available","Not Available","Not Available","Not Available","26241905.9","251976.2","2519.762135","4048027.8"
"784 Park Avenue","1-01388-0037","1930","1","Multifamily Housing","152572","Medical Office","9000","Not Available","Not Available","915.8","57","Not Available","161572","Not Available","152572","Not Available","Not Available","Not Available","161572","Not Available","Not Available","Not Available","Not Available","10546515.6","166091","1660.909719","762524.4"
