"address_1","nyc_borough_block_and_lot_bbl","year_built","number_of_buildings","largest_property_use_type","largest_property_use_type_gross_floor_area_ft","_2nd_largest_property_use_type","_2nd_largest_property_use_gross_floor_area_ft","_3rd_largest_property_use_type","_3rd_largest_property_use_type_gross_floor_area_ft","total_ghg_emissions_metric_tons_co2e","energy_star_score","reason_s_for_no_score","property_gfa_self_reported_ft","office_gross_floor_area_ft","multifamily_housing_gross_floor_area_ft","parking_gross_floor_area_ft","retail_store_gross_floor_area_ft","supermarket_grocery_gross_floor_area_ft","property_gfa_calculated_buildings_ft","property_gfa_calculated_parking_ft","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","diesel_2_use_kbtu","district_steam_use_kbtu","natural_gas_use_kbtu","natural_gas_use_therms","electricity_use_grid_purchase_kwh"
"717 5th Ave","1-01291-7501","1957","1","Office","304202","Retail Store","105588","Not Available","Not Available","1925.1","78","Not Available","409790","304202","Not Available","Not Available","105588","Not Available","409790","Not Available","Not Available","Not Available","Not Available","9841649.7","Not Available","Not Available","4690162.5"
"71 Park Avenue","1-00894-7503","1924","1","Multifamily Housing","59986","Not Available","Not Available","Not Available","Not Available","269.8","66","Not Available","59986","Not Available","59986","Not Available","Not Available","Not Available","59986","Not Available","Not Available","Not Available","Not Available","3093069.8","44326.5","443.2647105","228921"
"71 W 35th St","1-00837-0001","1954","2","Hotel","84263","Office","12350","Bar/Nightclub","4125","589.3","9","Not Available","100738","12350","Not Available","Not Available","Not Available","Not Available","100738","Not Available","Not Available","Not Available","Not Available","1609847.5","2785.3","27.8529464","1778635"
"720 Fifth Avenue","1-01272-0034","1954","1","Office","67975","Retail Store","37764","Personal Services (Health/Beauty, Dry Cleaning, etc.)","7553","595.1","20","Not Available","113292","67975","Not Available","Not Available","37764","Not Available","113292","Not Available","Not Available","Not Available","Not Available","1563609.6","Not Available","Not Available","1811940"
"720 Park Ave","1013850032","1928","1","Multifamily Housing","206989","Not Available","Not Available","Not Available","Not Available","1101.7","67","Not Available","206989","Not Available","206989","Not Available","Not Available","Not Available","206989","Not Available","Not Available","Not Available","Not Available","11377233.5","237488.6","2374.886325","1230485.3"
"722 W 168 Street, 1050 Riverside Drive, 1072 Riverside Drive","1021390017;1021390030","1928","1","Office","242815","Other","13623","Not Available","Not Available","4442.6","17","Not Available","256438","242815","Not Available","Not Available","Not Available","Not Available","256438","Not Available","Not Available","Not Available","Not Available","50578460","Not Available","Not Available","3997063.3"
"724 Fifth Avenue","1-01272-7502","1921","1","Office","40857","Retail Store","13620","Not Available","Not Available","393.5","8","Not Available","54477","40857","Not Available","Not Available","13620","Not Available","54477","Not Available","Not Available","Not Available","Not Available","832940","Not Available","Not Available","1247533.1"
"725 Fifth Avenue","1012927501","1983","1","Multifamily Housing","549320","Office","256522","Not Available","Not Available","4067.5","66","Not Available","805842","256522","549320","Not Available","Not Available","Not Available","805842","Not Available","Not Available","Not Available","Not Available","23516150.1","657919.5","6579.195338","9114200.1"
"725 Park Avenue","1-01405-0001","1980","1","Museum","54139","Not Available","Not Available","Not Available","Not Available","1364.7","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","54139","Not Available","Not Available","Not Available","Not Available","Not Available","54139","Not Available","Not Available","Not Available","Not Available","12840978.6","144055.7","1440.556819","1860563.5"
"727 5th Ave","1-01292-0069","1939","1","Retail Store","117232","Not Available","Not Available","Not Available","Not Available","696.3","38","Not Available","117232","Not Available","Not Available","Not Available","117232","Not Available","117232","Not Available","Not Available","Not Available","Not Available","762780.5","74246.7","742.466683","2366749"
